y,x,label,unix_time_conv
-0.07166666666666781,1510661017,11/14 04:03 AM,2017-11-14 21:03:37
-0.04833333333333437,1510683453,11/14 10:17 AM,2017-11-15 03:17:33
-0.04833333333333437,1510705925,11/14 04:32 PM,2017-11-15 09:32:05
-0.11749999999999972,1510728391,11/14 10:46 PM,2017-11-15 15:46:31
-0.11749999999999972,1510750835,11/15 05:00 AM,2017-11-15 22:00:35
-0.046666666666666856,1510773271,11/15 11:14 AM,2017-11-16 04:14:31
-0.046666666666666856,1510795712,11/15 05:28 PM,2017-11-16 10:28:32
-0.05999999999999991,1510818135,11/15 11:42 PM,2017-11-16 16:42:15
-0.05749999999999981,1510840559,11/16 05:55 AM,2017-11-16 22:55:59
-0.033333333333333805,1510862985,11/16 12:09 PM,2017-11-17 05:09:45
-0.06416666666666752,1510885421,11/16 06:23 PM,2017-11-17 11:23:41
-0.061666666666667425,1510907846,11/17 12:37 AM,2017-11-17 17:37:26
-0.06833333333333276,1510930276,11/17 06:51 AM,2017-11-17 23:51:16
-0.061666666666667425,1510952707,11/17 01:05 PM,2017-11-18 06:05:07
-0.0983333333333339,1510975151,11/17 07:19 PM,2017-11-18 12:19:11
-0.06916666666666771,1510997569,11/18 01:32 AM,2017-11-18 18:32:49
-0.06916666666666771,1511020000,11/18 07:46 AM,2017-11-19 00:46:40
-0.06916666666666771,1511042460,11/18 02:01 PM,2017-11-19 07:01:00
-0.09083333333333361,1511064903,11/18 08:15 PM,2017-11-19 13:15:03
-0.09416666666666629,1511087321,11/19 02:28 AM,2017-11-19 19:28:41
-0.054999999999999716,1511109729,11/19 08:42 AM,2017-11-20 01:42:09
-0.054999999999999716,1511132188,11/19 02:56 PM,2017-11-20 07:56:28
-0.041666666666666664,1511154625,11/19 09:10 PM,2017-11-20 14:10:25
-0.04833333333333437,1511177046,11/20 03:24 AM,2017-11-20 20:24:06
-0.044166666666666764,1511199478,11/20 09:37 AM,2017-11-21 02:37:58
-0.044166666666666764,1511203329,11/20 10:42 AM,2017-11-21 03:42:09
-0.044166666666666764,1511210900,11/20 12:48 PM,2017-11-21 05:48:20
-0.044166666666666764,1511218482,11/20 02:54 PM,2017-11-21 07:54:42
-0.044166666666666764,1511226050,11/20 05:00 PM,2017-11-21 10:00:50
-0.044258824101201334,1511233610,11/20 07:06 PM,2017-11-21 12:06:50
-0.07166666666666781,1511241164,11/20 09:12 PM,2017-11-21 14:12:44
-0.061666666666667425,1511248717,11/20 11:18 PM,2017-11-21 16:18:37
-0.05166666666666705,1511256267,11/21 01:24 AM,2017-11-21 18:24:27
-0.05166666666666705,1511263816,11/21 03:30 AM,2017-11-21 20:30:16
-0.041666666666666664,1511271366,11/21 05:36 AM,2017-11-21 22:36:06
-0.029166666666666192,1511278920,11/21 07:42 AM,2017-11-22 00:42:00
-0.015000000000000568,1511286487,11/21 09:48 AM,2017-11-22 02:48:07
-0.029166666666666192,1511301627,11/21 02:00 PM,2017-11-22 07:00:27
-0.03249999999999886,1511302712,11/21 02:18 PM,2017-11-22 07:18:32
-0.038333333333333997,1511303776,11/21 02:36 PM,2017-11-22 07:36:16
-0.038333333333333997,1511304860,11/21 02:54 PM,2017-11-22 07:54:20
-0.041666666666666664,1511305940,11/21 03:12 PM,2017-11-22 08:12:20
-0.054999999999999716,1511309792,11/21 04:16 PM,2017-11-22 09:16:32
-0.0650000000000001,1511313645,11/21 05:20 PM,2017-11-22 10:20:45
