y,x,label,axislabel
39.272222730848526,1511506165157,11/23 10:49 PM,*
39.272222730848526,1511508972340,11/23 11:36 PM,*
39.272222730848526,1511511779350,11/24 12:22 AM,*
44.36,1511514588730,11/24 01:09 AM,
45.89,1511517419170,11/24 01:56 AM,
47.44,1511520229123,11/24 02:43 AM,
48.75,1511523035833,11/24 03:30 AM,
49.97,1511525843407,11/24 04:17 AM,
50.95,1511528652413,11/24 05:04 AM,
52.05,1511531459350,11/24 05:50 AM,
53.19,1511534266640,11/24 06:37 AM,
54.41,1511537075413,11/24 07:24 AM,
55.8,1511539882020,11/24 08:11 AM,
57.120000000000005,1511542691857,11/24 08:58 AM,
58.03,1511546850600,11/24 10:07 AM,
58.33,1511551013300,11/24 11:16 AM,
58.78,1511555173713,11/24 12:26 PM,
58.900000000000006,1511559335787,11/24 01:35 PM,
58.84,1511563495300,11/24 02:44 PM,
58.349999999999994,1511567655500,11/24 03:54 PM,
58.19,1511571812373,11/24 05:03 PM,
57.56,1511575969217,11/24 06:12 PM,
56.760000000000005,1511580126943,11/24 07:22 PM,
55.59,1511584282910,11/24 08:31 PM,
54.349999999999994,1511588440040,11/24 09:40 PM,
53.06999999999999,1511592595150,11/24 10:49 PM,
50.67,1511599449833,11/25 12:44 AM,
48.459999999999994,1511606303813,11/25 02:38 AM,
46.099999999999994,1511613157950,11/25 04:32 AM,
44.25,1511620009667,11/25 06:26 AM,
42.769999999999996,1511626858743,11/25 08:20 AM,
41.019999999999996,1511633711107,11/25 10:15 AM,
34.56,1511658118217,11/25 05:01 PM,
33.129999999999995,1511666324317,11/25 07:18 PM,
31.30000000000001,1511674532677,11/25 09:35 PM,
29.49000000000001,1511682743270,11/25 11:52 PM,
28.27000000000001,1511690951217,11/26 02:09 AM,
26.909999999999997,1511699165723,11/26 04:26 AM,
25.590000000000003,1511707404273,11/26 06:43 AM,
24.55000000000001,1511715618097,11/26 09:00 AM,
23.310000000000002,1511723835583,11/26 11:17 AM,
22.5,1511732053837,11/26 01:34 PM,
22.379999999999995,1511740262980,11/26 03:51 PM,
21.99000000000001,1511748465547,11/26 06:07 PM,
21.189999999999998,1511756669557,11/26 08:24 PM,
20.50999999999999,1511764871767,11/26 10:41 PM,
19.680000000000007,1511773065393,11/27 12:57 AM,
19.039999999999992,1511781261100,11/27 03:14 AM,
18.639999999999986,1511789455347,11/27 05:30 AM,
17.819999999999993,1511797651793,11/27 07:47 AM,
17.319999999999993,1511805851860,11/27 10:04 AM,
15.199999999999989,1511830287603,11/27 04:51 PM,
15.159999999999997,1511834439270,11/27 06:00 PM,
15.0,1511838593520,11/27 07:09 PM,
14.840000000000003,1511842745283,11/27 08:19 PM,
14.439999999999998,1511846899540,11/27 09:28 PM,
13.900000000000006,1511859443063,11/28 12:57 AM,
13.409999999999997,1511863595770,11/28 02:06 AM,
13.449999999999989,1511867749700,11/28 03:15 AM,
13.030000000000001,1511871903090,11/28 04:25 AM,
13.030000000000001,1511876057870,11/28 05:34 AM,
11.539999999999992,1511880216843,11/28 06:43 AM,
12.409999999999997,1511884369113,11/28 07:52 AM,
12.560000000000002,1511888523870,11/28 09:02 AM,
11.560000000000002,1511892675943,11/28 10:11 AM,
12.389999999999986,1511896826480,11/28 11:20 AM,
12.27000000000001,1511909183150,11/28 02:46 PM,
12.909999999999997,1511913331453,11/28 03:55 PM,
13.280000000000001,1511917485477,11/28 05:04 PM,
13.590000000000003,1511921636530,11/28 06:13 PM,
13.539999999999992,1511925791473,11/28 07:23 PM,
13.580000000000013,1511929944357,11/28 08:32 PM,
13.610000000000014,1511934099973,11/28 09:41 PM,
13.439999999999998,1511938282140,11/28 10:51 PM,
11.680000000000007,1511979576027,11/29 10:19 AM,
10.550000000000011,1512003990790,11/29 05:06 PM,
10.580000000000013,1512028381170,11/29 11:53 PM,
10.110000000000014,1512052762957,11/30 06:39 AM,
9.25,1512077170523,11/30 01:26 PM,
8.590000000000003,1512101567933,11/30 08:12 PM,
7.599999999999994,1512125985287,12/01 02:59 AM,
3.9799999999999898,1512150357953,12/01 09:45 AM,
6.180000000000007,1512174786993,12/01 04:33 PM,
6.789999999999992,1512199181500,12/01 11:19 PM,
5.349999999999994,1512223583873,12/02 06:06 AM,
5.060000000000002,1512247964613,12/02 12:52 PM,
5.639999999999986,1512272376023,12/02 07:39 PM,
6.3300000000000125,1512296754927,12/03 02:25 AM,
6.710000000000008,1512321153087,12/03 09:12 AM,
5.710000000000008,1512345542897,12/03 03:59 PM,
5.469999999999999,1512369943310,12/03 10:45 PM,
5.610000000000014,1512394302493,12/04 05:31 AM,
4.6299999999999955,1512418673860,12/04 12:17 PM,
4.219999999999999,1512443049990,12/04 07:04 PM,
