y,x,label,unix_time_conv
0.8766666666666675,1510957664,11/17 02:27 PM,2017-11-18 07:27:44
0.23916666666666705,1510965713,11/17 04:41 PM,2017-11-18 09:41:53
0.23166666666666677,1510973755,11/17 06:55 PM,2017-11-18 11:55:55
0.18499999999999991,1510997607,11/18 01:33 AM,2017-11-18 18:33:27
0.2833333333333338,1511021470,11/18 08:11 AM,2017-11-19 01:11:10
0.43249999999999983,1511045383,11/18 02:49 PM,2017-11-19 07:49:43
-0.023333333333333428,1511069279,11/18 09:27 PM,2017-11-19 14:27:59
0.4066666666666663,1511093120,11/19 04:05 AM,2017-11-19 21:05:20
0.899166666666666,1511116968,11/19 10:42 AM,2017-11-20 03:42:48
0.5349999999999989,1511140897,11/19 05:21 PM,2017-11-20 10:21:37
0.1224999999999999,1511164758,11/19 11:59 PM,2017-11-20 16:59:18
0.6724999999999994,1511188620,11/20 06:37 AM,2017-11-20 23:37:00
0.024166666666666003,1511212531,11/20 01:15 PM,2017-11-21 06:15:31
0.29749999999999943,1511220563,11/20 03:29 PM,2017-11-21 08:29:23
0.3049999999999997,1511228587,11/20 05:43 PM,2017-11-21 10:43:07
0.06750000000000018,1511236606,11/20 07:56 PM,2017-11-21 12:56:46
-0.012500000000000474,1511244643,11/20 10:10 PM,2017-11-21 15:10:43
-0.02750000000000104,1511252656,11/21 12:24 AM,2017-11-21 17:24:16
-0.04499999999999934,1511260670,11/21 02:37 AM,2017-11-21 19:37:50
0.08166666666666582,1511268680,11/21 04:51 AM,2017-11-21 21:51:20
0.07833333333333314,1511276717,11/21 07:05 AM,2017-11-22 00:05:17
0.28666666666666646,1511284734,11/21 09:18 AM,2017-11-22 02:18:54
0.04249999999999924,1511292756,11/21 11:32 AM,2017-11-22 04:32:36
0.17749999999999963,1511300788,11/21 01:46 PM,2017-11-22 06:46:28
0.3266666666666656,1511301888,11/21 02:04 PM,2017-11-22 07:04:48
0.45083333333333303,1511302988,11/21 02:23 PM,2017-11-22 07:23:08
0.5599999999999999,1511304089,11/21 02:41 PM,2017-11-22 07:41:29
0.4908333333333322,1511305191,11/21 02:59 PM,2017-11-22 07:59:51
0.2575000000000003,1511306292,11/21 03:18 PM,2017-11-22 08:18:12
0.3083333333333324,1511310364,11/21 04:26 PM,2017-11-22 09:26:04
0.024166666666666003,1511314436,11/21 05:33 PM,2017-11-22 10:33:56
0.44333333333333275,1511318510,11/21 06:41 PM,2017-11-22 11:41:50
0.5925000000000011,1511322581,11/21 07:49 PM,2017-11-22 12:49:41
0.8008333333333345,1511326650,11/21 08:57 PM,2017-11-22 13:57:30
0.8116666666666674,1511330721,11/21 10:05 PM,2017-11-22 15:05:21
0.27583333333333354,1511332484,11/21 10:34 PM,2017-11-22 15:34:44
0.3333333333333333,1511334246,11/21 11:04 PM,2017-11-22 16:04:06
0.3850000000000004,1511336008,11/21 11:33 PM,2017-11-22 16:33:28
0.5016666666666675,1511337769,11/22 12:02 AM,2017-11-22 17:02:49
0.3816666666666677,1511339531,11/22 12:32 AM,2017-11-22 17:32:11
0.6691666666666668,1511341295,11/22 01:01 AM,2017-11-22 18:01:35
0.7675000000000006,1511343056,11/22 01:30 AM,2017-11-22 18:30:56
0.5925000000000011,1511344818,11/22 02:00 AM,2017-11-22 19:00:18
0.7274999999999991,1511346580,11/22 02:29 AM,2017-11-22 19:29:40
0.4400000000000001,1511348345,11/22 02:59 AM,2017-11-22 19:59:05
0.665833333333334,1511350106,11/22 03:28 AM,2017-11-22 20:28:26
0.461666666666666,1511351868,11/22 03:57 AM,2017-11-22 20:57:48
0.7025000000000006,1511353630,11/22 04:27 AM,2017-11-22 21:27:10
0.8516666666666666,1511355392,11/22 04:56 AM,2017-11-22 21:56:32
0.9316666666666672,1511357155,11/22 05:25 AM,2017-11-22 22:25:55
1.1283333333333327,1511358917,11/22 05:55 AM,2017-11-22 22:55:17
1.336666666666666,1511360678,11/22 06:24 AM,2017-11-22 23:24:38
1.5549999999999997,1511362440,11/22 06:54 AM,2017-11-22 23:54:00
1.6975000000000005,1511364201,11/22 07:23 AM,2017-11-23 00:23:21
2.0141666666666658,1511365967,11/22 07:52 AM,2017-11-23 00:52:47
2.1783333333333323,1511367729,11/22 08:22 AM,2017-11-23 01:22:09
2.4083333333333337,1511369491,11/22 08:51 AM,2017-11-23 01:51:31
2.604999999999999,1511370592,11/22 09:09 AM,2017-11-23 02:09:52
2.7358333333333333,1511371694,11/22 09:28 AM,2017-11-23 02:28:14
2.8425,1511372797,11/22 09:46 AM,2017-11-23 02:46:37
3.0208333333333335,1511373899,11/22 10:04 AM,2017-11-23 03:04:59
3.1625,1511375000,11/22 10:23 AM,2017-11-23 03:23:20
3.260833333333333,1511376101,11/22 10:41 AM,2017-11-23 03:41:41
3.3924999999999996,1511377202,11/22 11:00 AM,2017-11-23 04:00:02
3.4983333333333335,1511378304,11/22 11:18 AM,2017-11-23 04:18:24
3.651666666666666,1511379406,11/22 11:36 AM,2017-11-23 04:36:46
3.815833333333334,1511380503,11/22 11:55 AM,2017-11-23 04:55:03
3.9391666666666665,1511381606,11/22 12:13 PM,2017-11-23 05:13:26
4.048333333333333,1511382702,11/22 12:31 PM,2017-11-23 05:31:42
4.18,1511383804,11/22 12:50 PM,2017-11-23 05:50:04
4.321666666666666,1511384905,11/22 01:08 PM,2017-11-23 06:08:25
4.4425,1511386002,11/22 01:26 PM,2017-11-23 06:26:42
4.576666666666667,1511387106,11/22 01:45 PM,2017-11-23 06:45:06
4.719166666666666,1511388209,11/22 02:03 PM,2017-11-23 07:03:29
4.814166666666666,1511389311,11/22 02:21 PM,2017-11-23 07:21:51
4.927499999999999,1511390438,11/22 02:40 PM,2017-11-23 07:40:38
5.0616666666666665,1511391541,11/22 02:59 PM,2017-11-23 07:59:01
5.276666666666666,1511392643,11/22 03:17 PM,2017-11-23 08:17:23
5.404166666666666,1511393746,11/22 03:35 PM,2017-11-23 08:35:46
5.598333333333334,1511394851,11/22 03:54 PM,2017-11-23 08:54:11
5.721666666666667,1511395954,11/22 04:12 PM,2017-11-23 09:12:34
6.053333333333334,1511398707,11/22 04:58 PM,2017-11-23 09:58:27
6.381666666666667,1511401461,11/22 05:44 PM,2017-11-23 10:44:21
6.673333333333333,1511404216,11/22 06:30 PM,2017-11-23 11:30:16
6.968333333333334,1511406992,11/22 07:16 PM,2017-11-23 12:16:32
7.293333333333333,1511409743,11/22 08:02 PM,2017-11-23 13:02:23
7.57,1511412496,11/22 08:48 PM,2017-11-23 13:48:16
7.7775,1511415249,11/22 09:34 PM,2017-11-23 14:34:09
7.96,1511418020,11/22 10:20 PM,2017-11-23 15:20:20
8.1825,1511420774,11/22 11:06 PM,2017-11-23 16:06:14
8.386666666666667,1511423527,11/22 11:52 PM,2017-11-23 16:52:07
8.514166666666666,1511426281,11/23 12:38 AM,2017-11-23 17:38:01
8.634166666666667,1511429060,11/23 01:24 AM,2017-11-23 18:24:20
8.74,1511431813,11/23 02:10 AM,2017-11-23 19:10:13
